epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,506.634,1.30082,0.73108,1.03202,0.98493,0.97087,0.98606,0.71189,1.00898,0.49695,0.97742,0.00139635,0.00139635,0.00139635
43,518.7,1.32881,0.74122,1.04523,0.97395,0.97125,0.98405,0.7455,0.87744,0.47389,0.9268,0.00138974,0.00138974,0.00138974
44,530.643,1.28771,0.71345,1.02998,0.99571,0.97268,0.99247,0.76607,0.85491,0.4467,0.9217,0.00138314,0.00138314,0.00138314
45,542.579,1.27819,0.71779,1.03099,0.99021,0.97726,0.99262,0.75051,0.88669,0.44878,0.93833,0.00137654,0.00137654,0.00137654
46,554.579,1.28299,0.71786,1.03398,0.9969,0.97087,0.99213,0.76142,0.87728,0.45162,0.94382,0.00136994,0.00136994,0.00136994
47,566.435,1.29288,0.72281,1.01825,0.98845,0.97628,0.98414,0.74459,0.93344,0.45367,0.94321,0.00136334,0.00136334,0.00136334
48,578.464,1.30398,0.72197,1.02801,0.99755,0.97917,0.99394,0.7705,0.86916,0.44676,0.91561,0.00135674,0.00135674,0.00135674
49,590.633,1.2936,0.71628,1.02394,0.99065,0.97428,0.98667,0.74556,0.92032,0.45506,0.92913,0.00135014,0.00135014,0.00135014
50,602.745,1.27609,0.69602,1.02581,0.98683,0.97083,0.98864,0.77112,0.84525,0.46305,0.91593,0.00134354,0.00134354,0.00134354
51,614.806,1.27764,0.70617,1.02516,0.97738,0.97917,0.98351,0.76702,0.85554,0.46085,0.92278,0.00133693,0.00133693,0.00133693
52,626.883,1.28751,0.71284,1.02816,0.98908,0.97432,0.99204,0.74446,0.92311,0.47672,0.9271,0.00133033,0.00133033,0.00133033
53,638.918,1.27139,0.69725,1.01945,0.99077,0.97593,0.99037,0.76608,0.84049,0.44364,0.9171,0.00132373,0.00132373,0.00132373
54,651.069,1.23993,0.68724,1.02124,0.99055,0.98295,0.99165,0.77369,0.86436,0.44638,0.91569,0.00131713,0.00131713,0.00131713
55,663.082,1.26203,0.68891,1.01152,0.97821,0.9829,0.99225,0.77002,0.87594,0.43614,0.91666,0.00131053,0.00131053,0.00131053
56,675.201,1.26134,0.6883,1.02761,0.98881,0.975,0.98399,0.75733,0.88243,0.45635,0.9177,0.00130393,0.00130393,0.00130393
57,687.358,1.24247,0.6815,1.01537,0.98485,0.97282,0.99063,0.77165,0.83963,0.43917,0.91138,0.00129733,0.00129733,0.00129733
58,699.452,1.24809,0.69256,1.01648,0.98229,0.98333,0.98923,0.7368,0.94187,0.47184,0.94831,0.00129072,0.00129072,0.00129072
59,711.467,1.22428,0.67464,1.01543,0.99909,0.97083,0.99124,0.75351,0.87559,0.43617,0.92353,0.00128412,0.00128412,0.00128412
60,723.328,1.24401,0.6876,1.01727,0.99028,0.97183,0.99066,0.7702,0.82876,0.43169,0.91645,0.00127752,0.00127752,0.00127752
61,735.188,1.24099,0.67392,1.00948,0.98939,0.97917,0.99093,0.76746,0.83943,0.4301,0.92418,0.00127092,0.00127092,0.00127092
62,747.084,1.26341,0.68749,1.02199,0.98838,0.99167,0.99131,0.76982,0.84247,0.43861,0.91265,0.00126432,0.00126432,0.00126432
63,758.887,1.24053,0.66868,1.00639,0.974,0.98655,0.99193,0.7567,0.86792,0.42978,0.92012,0.00125772,0.00125772,0.00125772
64,770.832,1.23121,0.67953,1.00563,0.98667,0.98333,0.99217,0.7731,0.84068,0.4282,0.91589,0.00125112,0.00125112,0.00125112
65,782.688,1.21365,0.66933,1.00241,0.98522,0.97917,0.99284,0.77514,0.85541,0.43998,0.91056,0.00124452,0.00124452,0.00124452
66,794.712,1.2228,0.67028,1.00729,0.99354,0.96667,0.99355,0.7828,0.82768,0.42372,0.90802,0.00123791,0.00123791,0.00123791
67,806.628,1.21651,0.65507,1.00033,0.99218,0.97083,0.98802,0.78002,0.84775,0.42801,0.91351,0.00123131,0.00123131,0.00123131
68,819.047,1.20253,0.65947,1.00675,0.99806,0.97083,0.99383,0.77701,0.82378,0.41166,0.90791,0.00122471,0.00122471,0.00122471
69,830.887,1.21469,0.65212,0.99525,0.99053,0.98235,0.99368,0.78036,0.83587,0.41585,0.91312,0.00121811,0.00121811,0.00121811
70,842.74,1.21213,0.66067,1.00739,0.99055,0.9826,0.99363,0.78283,0.81561,0.41718,0.9062,0.00121151,0.00121151,0.00121151
71,854.557,1.19432,0.65307,1.00126,0.9984,0.98333,0.99378,0.76674,0.85946,0.42821,0.90883,0.00120491,0.00120491,0.00120491
72,866.428,1.18433,0.64676,0.99728,0.98426,0.98333,0.99395,0.769,0.87252,0.42652,0.92033,0.00119831,0.00119831,0.00119831
73,878.251,1.20149,0.64446,0.99862,0.99916,0.98333,0.99425,0.77384,0.83038,0.40874,0.91244,0.0011917,0.0011917,0.0011917
74,890.145,1.21473,0.64689,0.99647,0.99885,0.97399,0.99362,0.78049,0.84318,0.40722,0.91455,0.0011851,0.0011851,0.0011851
75,901.946,1.1881,0.63716,0.99141,0.99835,0.99053,0.99488,0.77239,0.83454,0.4012,0.91145,0.0011785,0.0011785,0.0011785
76,913.813,1.21137,0.64171,0.99854,0.98593,0.98528,0.99413,0.76304,0.88561,0.42679,0.92771,0.0011719,0.0011719,0.0011719
77,925.671,1.17812,0.62474,0.99387,0.98315,0.97975,0.99104,0.77643,0.84067,0.42904,0.92053,0.0011653,0.0011653,0.0011653
78,937.508,1.18466,0.6382,0.99448,0.99918,0.97329,0.99377,0.77392,0.84782,0.41528,0.91132,0.0011587,0.0011587,0.0011587
