epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.83,1.84603,2.165,1.30194,0.82049,0.86986,0.9286,0.56164,1.22728,1.28622,1.05165,0.00055164,0.00055164,0.00055164
2,26.2078,1.70651,1.345,1.21962,0.88599,0.88347,0.97098,0.6621,1.09971,0.9426,1.00834,0.00110183,0.00110183,0.00110183
3,38.4292,1.67851,1.26947,1.20806,0.97708,0.93702,0.96393,0.63128,1.23997,0.88788,1.05223,0.00164651,0.00164651,0.00164651
4,50.4643,1.62449,1.18828,1.18222,0.89911,0.9626,0.97415,0.66094,1.15667,0.86083,1.04631,0.00164225,0.00164225,0.00164225
5,62.5111,1.59104,1.12104,1.17589,0.9714,0.89907,0.95632,0.6312,1.26597,0.83954,1.116,0.00163399,0.00163399,0.00163399
6,74.5558,1.59393,1.09482,1.15749,0.96924,0.94601,0.97142,0.67513,1.11129,0.76027,1.02302,0.00162574,0.00162574,0.00162574
7,86.6399,1.56907,1.05009,1.15257,0.98058,0.96848,0.98024,0.65895,1.16435,0.77373,1.03605,0.00161749,0.00161749,0.00161749
8,98.6573,1.53247,1.03905,1.13693,0.9933,0.9543,0.98356,0.69271,1.03537,0.69152,0.97925,0.00160924,0.00160924,0.00160924
9,110.577,1.5547,0.98454,1.13993,0.9904,0.92948,0.98466,0.69382,1.12195,0.74515,1.0184,0.00160099,0.00160099,0.00160099
10,122.457,1.56118,1.02066,1.14535,0.98224,0.96964,0.98765,0.70276,1.05525,0.65176,0.99135,0.00159274,0.00159274,0.00159274
11,134.251,1.5404,0.98059,1.12644,0.97829,0.96539,0.98889,0.70807,1.02338,0.63332,0.98217,0.00158448,0.00158448,0.00158448
12,146.116,1.50041,0.95102,1.11674,0.96673,0.9792,0.98813,0.69793,1.06077,0.63815,0.98963,0.00157623,0.00157623,0.00157623
13,157.979,1.48457,0.94773,1.11377,0.98975,0.96584,0.9818,0.65784,1.14124,0.64331,1.01656,0.00156798,0.00156798,0.00156798
14,169.881,1.47353,0.91033,1.10708,0.99035,0.96674,0.99336,0.69947,1.04534,0.58197,0.98633,0.00155973,0.00155973,0.00155973
15,181.715,1.47166,0.9098,1.11212,0.94472,0.96674,0.98641,0.69931,1.04002,0.59125,0.97714,0.00155148,0.00155148,0.00155148
16,193.537,1.48578,0.9109,1.10453,0.96,0.95206,0.98626,0.71354,1.00414,0.57765,0.96179,0.00154323,0.00154323,0.00154323
17,205.385,1.4443,0.89675,1.09355,0.98572,0.96557,0.98351,0.73132,0.97093,0.57069,0.9576,0.00153497,0.00153497,0.00153497
18,217.251,1.43754,0.88041,1.09439,0.98797,0.97917,0.98934,0.73769,0.92876,0.54836,0.94826,0.00152672,0.00152672,0.00152672
19,229.135,1.44364,0.87177,1.09507,0.97258,0.95851,0.99257,0.71926,0.97012,0.58364,0.95736,0.00151847,0.00151847,0.00151847
20,241.459,1.42167,0.84512,1.08148,0.98309,0.95942,0.98443,0.74339,0.93669,0.53214,0.94528,0.00151022,0.00151022,0.00151022
21,253.346,1.38059,0.83321,1.06622,0.98287,0.9634,0.98708,0.73382,0.95042,0.53636,0.95475,0.00150197,0.00150197,0.00150197
22,265.434,1.41383,0.84846,1.08539,0.98388,0.94804,0.98458,0.70088,1.01597,0.5469,0.97489,0.00149372,0.00149372,0.00149372
23,277.439,1.40579,0.84767,1.08356,0.98676,0.96435,0.99067,0.72891,0.98111,0.53566,0.96045,0.00148546,0.00148546,0.00148546
24,289.554,1.38904,0.81749,1.07775,0.99085,0.97388,0.99112,0.72192,0.97525,0.56004,0.97392,0.00147721,0.00147721,0.00147721
25,301.715,1.41812,0.84923,1.09317,0.98562,0.96458,0.985,0.74259,0.95126,0.54954,0.96231,0.00146896,0.00146896,0.00146896
26,313.778,1.4052,0.83609,1.07839,0.98378,0.96661,0.98713,0.74145,0.94281,0.51548,0.95165,0.00146071,0.00146071,0.00146071
27,325.577,1.39624,0.8094,1.07648,0.98918,0.97169,0.99236,0.73226,0.97862,0.51899,0.94656,0.00145246,0.00145246,0.00145246
28,337.413,1.39581,0.79131,1.06392,0.9916,0.98259,0.99383,0.7493,0.89877,0.51213,0.93094,0.00144421,0.00144421,0.00144421
29,349.249,1.37253,0.79032,1.06216,0.98313,0.97595,0.99381,0.76075,0.88313,0.4933,0.93161,0.00143595,0.00143595,0.00143595
30,361.148,1.35933,0.7904,1.05577,0.97671,0.96586,0.98617,0.71811,0.97444,0.54372,0.95134,0.0014277,0.0014277,0.0014277
31,372.952,1.35735,0.78252,1.05172,0.9734,0.99583,0.9941,0.74326,0.91231,0.48029,0.92696,0.00141945,0.00141945,0.00141945
32,384.773,1.34715,0.76055,1.05378,0.98284,0.98333,0.99345,0.71566,0.99091,0.50163,0.9448,0.0014112,0.0014112,0.0014112
33,396.584,1.33841,0.76956,1.04707,0.97419,0.99129,0.99395,0.73028,0.97028,0.49685,0.94999,0.00140295,0.00140295,0.00140295
34,408.456,1.35646,0.75474,1.05837,0.97729,0.98337,0.98765,0.72517,0.9465,0.51554,0.94128,0.0013947,0.0013947,0.0013947
35,420.32,1.32703,0.74547,1.04629,0.97668,0.96253,0.97615,0.72571,0.95896,0.5067,0.9468,0.00138644,0.00138644,0.00138644
36,432.259,1.35009,0.75824,1.0465,0.97889,0.97917,0.9925,0.74475,0.90396,0.4814,0.92605,0.00137819,0.00137819,0.00137819
37,444.261,1.33616,0.74677,1.0531,0.98369,0.95998,0.9895,0.7306,0.92593,0.48022,0.93779,0.00136994,0.00136994,0.00136994
38,456.1,1.35223,0.76563,1.05176,0.97411,0.98333,0.9881,0.74447,0.94284,0.47433,0.93615,0.00136169,0.00136169,0.00136169
39,468.193,1.32506,0.75483,1.04023,0.98882,0.975,0.99334,0.7561,0.87376,0.46394,0.92745,0.00135344,0.00135344,0.00135344
40,480.216,1.30827,0.73454,1.03001,0.9743,0.97134,0.98642,0.74548,0.9076,0.484,0.93132,0.00134519,0.00134519,0.00134519
41,500.289,1.30035,0.7294,1.03598,0.98886,0.98333,0.98947,0.74021,0.90471,0.46825,0.92551,0.00133693,0.00133693,0.00133693
42,520.951,1.3006,0.73311,1.03522,0.97514,0.97822,0.97926,0.72827,0.9928,0.50546,0.96528,0.00132868,0.00132868,0.00132868
43,542.06,1.32967,0.74089,1.04654,0.98285,0.96804,0.98572,0.74804,0.87611,0.46299,0.92646,0.00132043,0.00132043,0.00132043
44,562.4,1.29208,0.71728,1.02764,0.98972,0.9903,0.99483,0.75037,0.90053,0.45959,0.92487,0.00131218,0.00131218,0.00131218
45,582.258,1.27616,0.71377,1.02744,0.99239,0.9875,0.99245,0.75053,0.89254,0.43893,0.93136,0.00130393,0.00130393,0.00130393
46,602.545,1.28018,0.71252,1.03329,0.97633,0.99583,0.99415,0.74291,0.89042,0.44273,0.93222,0.00129568,0.00129568,0.00129568
