epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,504.737,1.28582,0.72217,1.02989,0.98708,0.96701,0.98288,0.7044,1.03026,0.49937,0.98103,0.00121591,0.00121591,0.00121591
43,516.649,1.33053,0.73684,1.0459,0.98808,0.97532,0.98615,0.7379,0.89525,0.4571,0.93661,0.00120491,0.00120491,0.00120491
44,528.522,1.27939,0.7128,1.02601,0.98746,0.98708,0.99012,0.76711,0.84004,0.45117,0.91232,0.00119391,0.00119391,0.00119391
45,541.229,1.27197,0.70896,1.0313,0.98738,0.98333,0.99352,0.75062,0.89333,0.47673,0.93387,0.0011829,0.0011829,0.0011829
46,555.004,1.26413,0.70088,1.02814,0.97683,0.99583,0.99427,0.76364,0.84573,0.43687,0.91812,0.0011719,0.0011719,0.0011719
47,568.517,1.27865,0.70646,1.0184,0.9749,0.99161,0.99038,0.74058,0.94394,0.46211,0.95151,0.0011609,0.0011609,0.0011609
48,584.025,1.29771,0.71786,1.03078,0.99159,0.9869,0.98988,0.75284,0.86218,0.44541,0.92033,0.0011499,0.0011499,0.0011499
49,601.22,1.27988,0.70534,1.02387,0.97716,0.97824,0.98102,0.73901,0.93384,0.46664,0.93511,0.00113889,0.00113889,0.00113889
50,617.607,1.26073,0.68051,1.02419,0.97924,0.98732,0.98914,0.76134,0.86519,0.45295,0.921,0.00112789,0.00112789,0.00112789
51,631.887,1.24519,0.68649,1.01796,0.97563,0.98105,0.9854,0.76542,0.87697,0.47286,0.92622,0.00111689,0.00111689,0.00111689
52,644.203,1.27069,0.69339,1.02293,0.9809,0.98052,0.9892,0.73877,0.89523,0.4538,0.92222,0.00110589,0.00110589,0.00110589
53,656.614,1.23668,0.67734,1.00822,0.98359,0.97682,0.98635,0.76187,0.8779,0.45434,0.9259,0.00109489,0.00109489,0.00109489
54,668.994,1.21708,0.67483,1.01643,0.97657,0.98333,0.98328,0.74719,0.85286,0.44228,0.91067,0.00108388,0.00108388,0.00108388
55,681.485,1.24176,0.66919,1.0042,0.98053,0.97977,0.98346,0.76019,0.8681,0.45091,0.91886,0.00107288,0.00107288,0.00107288
56,694.104,1.23797,0.67226,1.02534,0.98566,0.98333,0.98361,0.75242,0.86529,0.45605,0.9178,0.00106188,0.00106188,0.00106188
57,706.567,1.23236,0.67273,1.01674,0.98949,0.98417,0.99091,0.77421,0.84811,0.43673,0.91704,0.00105088,0.00105088,0.00105088
58,719.158,1.23399,0.67537,1.01003,0.98527,0.98119,0.98918,0.75334,0.89829,0.44839,0.93177,0.00103987,0.00103987,0.00103987
59,731.517,1.1984,0.65621,1.01033,0.9864,0.97698,0.98913,0.75284,0.85499,0.43435,0.91433,0.00102887,0.00102887,0.00102887
60,743.927,1.20908,0.66457,1.00512,0.98568,0.97098,0.98909,0.76984,0.83399,0.43643,0.9144,0.00101787,0.00101787,0.00101787
61,756.268,1.2419,0.66306,1.00739,0.98899,0.97917,0.98642,0.75962,0.85689,0.44107,0.91876,0.00100687,0.00100687,0.00100687
62,769.02,1.25154,0.67622,1.0194,0.98408,0.97917,0.99015,0.76282,0.87364,0.43657,0.92738,0.000995866,0.000995866,0.000995866
63,781.446,1.23081,0.66004,1.00706,0.98499,0.99167,0.99178,0.76202,0.85257,0.41556,0.92179,0.000984864,0.000984864,0.000984864
64,793.656,1.20961,0.64728,1.00092,0.98583,0.9875,0.98925,0.75682,0.84111,0.42686,0.91557,0.000973861,0.000973861,0.000973861
65,805.942,1.19634,0.64991,1.00259,0.98708,0.99167,0.99357,0.77384,0.84934,0.41206,0.91379,0.000962859,0.000962859,0.000962859
66,818.17,1.19439,0.64552,0.99993,0.98683,0.98333,0.99357,0.77659,0.8245,0.41367,0.91438,0.000951857,0.000951857,0.000951857
67,830.363,1.19691,0.6337,0.99576,0.98685,0.98692,0.99082,0.75686,0.89536,0.43203,0.92269,0.000940855,0.000940855,0.000940855
68,842.602,1.18207,0.64007,1.00235,0.98244,0.98219,0.98842,0.77036,0.83083,0.4072,0.91394,0.000929853,0.000929853,0.000929853
69,854.828,1.1818,0.63185,0.98781,0.98706,0.98272,0.98768,0.76778,0.84107,0.40655,0.91348,0.00091885,0.00091885,0.00091885
70,867.148,1.19113,0.64868,0.99891,0.97722,0.9875,0.98647,0.76635,0.81556,0.40428,0.90629,0.000907848,0.000907848,0.000907848
